é	accented e	prose accent e-acute eacute
§	section sign	prose section
¶	pilcrow	prose paragraph mark
†	dagger	prose cross dagger footnote
‡	double dagger	prose double cross double dagger footnote
•	bullet	prose list dot
…	ellipsis	prose omission
‘	left single quote	prose curly quote apostrophe
’	right single quote	prose curly quote
“	left double quote	prose curly quote
”	right double quote	prose curly quote
–	en dash	prose dash
«	left guillemet	prose french quote
»	right guillemet	prose french quote
‹	left single guillemet	prose quote
›	right single guillemet	prose quote
‽	interrobang	prose question exclamation
⁂	asterism	prose poetry stanza
⁋	hyphen bullet	prose list
©	copyright	prose symbol rights
®	registered trademark	prose symbol rights
™	trademark	prose symbol rights
№	numero sign	prose number no
½	one half	prose fraction
¼	one quarter	prose fraction
¾	three quarters	prose fraction
⅓	one third	prose fraction
€	euro	prose currency
£	pound sterling	prose currency
¥	yen yuan	prose currency
¢	cent	prose currency
